Branch Path,Variable,Scenario,Method,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,DIFFERS_FROM_BAU
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,First Simulation Year,Updated Utility Protection,Interp,Years,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Fixed OM Cost,Updated BAU GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Fixed OM Cost,Updated LMI GHS,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Fixed OM Cost,Updated Pro Solar,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Fixed OM Cost,Updated Utility Protection,Interp,South African Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Historical Production,Updated BAU GHS,Interp,Kilowatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Historical Production,Updated LMI GHS,Interp,Kilowatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Historical Production,Updated Pro Solar,Interp,Kilowatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Historical Production,Updated Utility Protection,Interp,Kilowatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Interest Rate,Updated BAU GHS,Interp,Percent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Interest Rate,Updated LMI GHS,Interp,Percent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Interest Rate,Updated Pro Solar,Interp,Percent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Interest Rate,Updated Utility Protection,Interp,Percent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Lifetime,Updated BAU GHS,Interp,Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Lifetime,Updated LMI GHS,Interp,Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Lifetime,Updated Pro Solar,Interp,Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Lifetime,Updated Utility Protection,Interp,Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Maximum Availability,Updated BAU GHS,Interp,Percent,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Maximum Availability,Updated LMI GHS,Interp,Percent,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Maximum Availability,Updated Pro Solar,Interp,Percent,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Maximum Availability,Updated Utility Protection,Interp,Percent,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Merit Order,Updated BAU GHS,Interp,Merit Order,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Merit Order,Updated LMI GHS,Interp,Merit Order,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Merit Order,Updated Pro Solar,Interp,Merit Order,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Merit Order,Updated Utility Protection,Interp,Merit Order,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Minimum Utilization,Updated BAU GHS,Interp,Percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Minimum Utilization,Updated LMI GHS,Interp,Percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Minimum Utilization,Updated Pro Solar,Interp,Percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Minimum Utilization,Updated Utility Protection,Interp,Percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Process Efficiency,Updated BAU GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Process Efficiency,Updated LMI GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Process Efficiency,Updated Pro Solar,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
